DESCRIPTION	SAMPA	MARY	CATEGORY
sil	i:	i:	syllabic
sill	I	I	syllabic
full	u0	u0	syllabic
ful	}:	}:	syllabic
matt	a	a	syllabic
mat	A:	A:	syllabic
bot	u:	u:	syllabic
bott	U	U	syllabic
häl	E:	E:	syllabic
häll	E	E	syllabic
aula	au	a*U	syllabic
syl	y:	y:	syllabic
syll	Y	Y	syllabic
hel	e:	e:	syllabic
herr,hett	e	e	syllabic
nöt	2:	9:	syllabic
mött,förra	9	9	syllabic
mål	o:	o:	syllabic
moll,håll	O	O	syllabic
bättre	@	e	syllabic
europa	eu	E*U	syllabic
pol	p	p	non syllabic
bok	b	b	non syllabic
tok	t	t	non syllabic
bort	rt	rt	non syllabic
mod	m	m	non syllabic
nod	n	n	non syllabic
dop	d	d	non syllabic
bord	rd	rd	non syllabic
bok	k	k	non syllabic
våg	g	g	non syllabic
lång	N	N	non syllabic
forna	rn	rn	non syllabic
fot	f	f	non syllabic
våt	v	v	non syllabic
kjol	C	C	non syllabic
fors	rs	rs	non syllabic
rov	r	r	non syllabic
lov	l	l	non syllabic
sot	s	s	non syllabic
sjok	x	S	non syllabic
hot	h	h	non syllabic
porla	rl	rl	non syllabic
jord	j	j	non syllabic
syllable delimiter	.	-	syllable delimiter
#syllable delimiter	$	-	syllable delimiter
phoneme delimiter	 	 	phoneme delimiter
primary stress	"	'	stress
accent II	""	"	stress
secondary stress	%	%	stress
