DESCRIPTION	SYMBOL	IPA	CATEGORY
pin /pIn/	p	p	consonant
bin /bIn/	t	t	consonant
tin /tIn/	k	k	consonant
din /dIn/	b	b	consonant
kin /kIn/	d	d	consonant
give /gIv/	g	g	consonant
chin /tSIn/	tS	tʃ	consonant
gin /dZIn/	dZ	dʒ	consonant
fin /fIn/	f	f	consonant
vim /vIm/	v	v	consonant
thin /TIn/	T	θ	consonant
this /DIs/	D	ð	consonant
sin /sIn/	s	s	consonant
zing /zIN/	z	z	consonant
shin /SIn/	S	ʃ	consonant
measure /"mEZ@`/	Z	ʒ	consonant
hit /hIt/	h	h	consonant
long /lON/	l	l	consonant
mock /mAk/	m	m	consonant
knock /nAk/	n	n	consonant
thing /TIN/	N	ŋ	consonant
wrong /rON/	r	r	consonant
wasp /wAsp/	w	w	consonant
yacht /jAt/	j	j	consonant
pot /pAt/	A	ɒ	vowel
cause /kOz/	O	ɔ	vowel
lose /luz/	u	u	vowel
ease /iz/	i	i	vowel
pat /p{t/	{	æ	vowel
cut /kVt/	V	ʌ	vowel
pet /pEt/	E	ɛ	vowel
pit /pIt/	I	ɪ	vowel
put /pUt/	U	ʊ	vowel
allow /@"laU/	@	ə	vowel
furs /f3`z/	r=	ɝ	vowel
rouse /raUz/	aU	aʊ	vowel
noise /nOIz/	OI	ɔɪ	vowel
nose /n@Uz/	@U	oʊ	vowel
raise /rEIz/	EI	eɪ	vowel
rise /raIz/	AI	aɪ	vowel
